,param_tol,param_shrinking,param_kernel,param_gamma,param_degree,param_coef0,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore
163,1e-07,False,sigmoid,0.15,3,0.7000000000000001,"{'tol': 1e-07, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 3, 'coef0': 0.7000000000000001}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
164,0.1,True,sigmoid,0.15,5,0.30000000000000004,"{'tol': 0.1, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 5, 'coef0': 0.30000000000000004}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
165,0.001,False,rbf,auto,5,0.25,"{'tol': 0.001, 'shrinking': False, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 5, 'coef0': 0.25}",0.20130932896890344,0.02235384520228715,11,0.5102411924025599,0.003944324451642268,
166,1e-08,False,sigmoid,0.05,2,0.7000000000000001,"{'tol': 1e-08, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.05, 'degree': 2, 'coef0': 0.7000000000000001}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
167,1e-05,True,sigmoid,0.01,4,0.65,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 4, 'coef0': 0.65}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
168,0.0001,True,sigmoid,0.15,3,1.0,"{'tol': 0.0001, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 3, 'coef0': 1.0}",0.15220949263502456,0.009286875863431592,174,0.15225785175067374,0.0023575077959626677,
169,1e-08,True,rbf,0.01,3,0.05,"{'tol': 1e-08, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 3, 'coef0': 0.05}",0.18985270049099837,0.01674036150216822,25,0.6100446257587564,0.00592771123710777,
170,1e-09,True,rbf,0.05,2,0.7000000000000001,"{'tol': 1e-09, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 2, 'coef0': 0.7000000000000001}",0.1783960720130933,0.012867608334345231,39,0.7548648520810113,0.006331637152035541,
171,0.1,True,sigmoid,0.2,3,0.9,"{'tol': 0.1, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 3, 'coef0': 0.9}",0.15384615384615385,0.007158736898565377,126,0.1526797926789438,0.003086682641640312,
172,1e-07,False,rbf,0.01,4,0.55,"{'tol': 1e-07, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 4, 'coef0': 0.55}",0.18985270049099837,0.01674036150216822,25,0.6100446257587564,0.00592771123710777,
173,1e-05,False,rbf,scale,4,0.9500000000000001,"{'tol': 1e-05, 'shrinking': False, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'coef0': 0.9500000000000001}",0.2225859247135843,0.022853726469659896,1,0.28108591632024216,0.0026158237422675514,
174,1e-07,False,sigmoid,0.15,0,0.05,"{'tol': 1e-07, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 0, 'coef0': 0.05}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
175,1e-06,False,sigmoid,0.1,3,0.5,"{'tol': 1e-06, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.1, 'degree': 3, 'coef0': 0.5}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
